t,p,et,ep
7,2.1,0.1,0.1
10,2.2,0.1,0.1
11,2.3,0.1,0.1
11.65,2.4,0.1,0.1
12.58,2.5,0.1,0.1
13.18,2.6,0.1,0.1
13.56,2.7,0.1,0.1
14.13,2.8,0.1,0.1
14.38,2.9,0.1,0.1
14.86,3,0.1,0.1
15.56,3.1,0.1,0.1
16.63,3.2,0.1,0.1
17.15,3.3,0.1,0.1
17.68,3.4,0.1,0.1
18.12,3.5,0.1,0.1
18.65,3.6,0.1,0.1
18.92,3.7,0.1,0.1
20.08,3.8,0.1,0.1
20.58,3.9,0.1,0.1
21.02,4,0.1,0.1
21.58,4.1,0.1,0.1
21.95,4.2,0.1,0.1
22.45,4.3,0.1,0.1
23.62,4.4,0.1,0.1
24.15,4.5,0.1,0.1
24.55,4.6,0.1,0.1
25.22,4.7,0.1,0.1
25.69,4.8,0.1,0.1
26.52,4.9,0.1,0.1
27.19,5,0.1,0.1
27.59,5.1,0.1,0.1
28.19,5.2,0.1,0.1
29.12,5.3,0.1,0.1
29.49,5.4,0.1,0.1
30.02,5.5,0.1,0.1
30.66,5.6,0.1,0.1
31.62,5.7,0.1,0.1
32.19,5.8,0.1,0.1
32.66,5.9,0.1,0.1
32.99,6,0.1,0.1
